epoch,train_loss,val_loss,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,lr,seconds
1,0.27625904412399205,0.20372173397695248,0.8844778254649499,0.8868745467730239,0.8798561151079136,0.8833513903936439,0.9419568822553898,0.9411764705882353,0.9442622950819672,0.9427168576104746,0.00029917828430524096,52.1
2,0.1457537616868217,0.1691841872078467,0.9438483547925608,0.9516483516483516,0.9345323741007194,0.9430127041742287,0.9386401326699834,0.9213836477987422,0.9606557377049181,0.9406099518459069,0.0002967221401100708,24.8
3,0.11913392660827596,0.19935147180090693,0.9588698140200286,0.958963282937365,0.958273381294964,0.958618207988485,0.9369817578772802,0.9292604501607717,0.9475409836065574,0.9383116883116883,0.00029265847744427303,24.9
4,0.09202471652330674,0.12435722489459795,0.9670958512160229,0.9723435225618632,0.9611510791366906,0.9667149059334298,0.9618573797678275,0.9548387096774194,0.9704918032786886,0.9626016260162602,0.0002870318186463901,23.7
5,0.08175262373916069,0.14190242277646736,0.969241773962804,0.9697406340057637,0.9683453237410072,0.9690424766018719,0.9552238805970149,0.9727891156462585,0.9377049180327869,0.9549248747913189,0.0002799038105676658,59.6
6,0.06447542016427746,0.18103430465876957,0.9756795422031473,0.9762247838616714,0.9748201438848921,0.9755219582433405,0.9519071310116086,0.9758620689655172,0.9278688524590164,0.9512605042016807,0.0002713525491562421,25.6
7,0.053636110437039995,0.1679756911239814,0.978898426323319,0.9812002892263196,0.9762589928057553,0.9787234042553191,0.9552238805970149,0.9727891156462585,0.9377049180327869,0.9549248747913189,0.00026147172382160914,24.3
8,0.05045780663422505,0.18674796515732855,0.9824749642346209,0.984115523465704,0.9805755395683453,0.9823423423423424,0.956882255389718,0.9728813559322034,0.940983606557377,0.9566666666666667,0.00025036959095382875,25.8
9,0.0462314130282709,0.18111834523096607,0.9853361945636624,0.9856011519078474,0.9848920863309353,0.9852464915437207,0.9618573797678275,0.97,0.9540983606557377,0.9619834710743802,0.000238167787843871,24.9
10,0.03394810729613461,0.20211414192149887,0.9867668097281831,0.9877433309300648,0.9856115107913669,0.9866762693554194,0.9651741293532339,0.9733333333333334,0.9573770491803278,0.9652892561983472,0.00022500000000000002,24.6
11,0.0341838600812813,0.20444036271441635,0.9881974248927039,0.9906001446131598,0.9856115107913669,0.988099531193653,0.9635157545605307,0.9732441471571907,0.9540983606557377,0.9635761589403973,0.0002110104964613701,25.0
12,0.027044157826678777,0.20130255551480536,0.9899856938483548,0.9892241379310345,0.9906474820143885,0.9899352983465133,0.9618573797678275,0.9763513513513513,0.9475409836065574,0.9617304492512478,0.00019635254915624216,23.5
13,0.02209685740590053,0.2595462261839688,0.9932045779685265,0.9935205183585313,0.9928057553956835,0.9931630082763584,0.9635157545605307,0.9732441471571907,0.9540983606557377,0.9635761589403973,0.00018118675362266393,23.4
14,0.027734517496883954,0.2179427601607087,0.9921316165951359,0.9913793103448276,0.9928057553956835,0.9920920201294033,0.9635157545605307,0.9700996677740864,0.9573770491803278,0.9636963696369637,0.0001656792694901481,23.5
15,0.018284706641335004,0.19749262528633005,0.9921316165951359,0.9913793103448276,0.9928057553956835,0.9920920201294033,0.9635157545605307,0.9609120521172638,0.9672131147540983,0.9640522875816994,0.0001500000000000001,23.4
16,0.01325628839337263,0.20809141083143243,0.9957081545064378,0.9963976945244957,0.9949640287769784,0.9956803455723542,0.9618573797678275,0.9519230769230769,0.9737704918032787,0.9627228525121555,0.00013432073050985205,24.2
